[2026-03-30 11:51:06] Wall clock start: 2026-03-30 11:51:06
[2026-03-30 11:51:06] ============================================================
[2026-03-30 11:51:06]   V7: Phase-Associative Memory Language Model
[2026-03-30 11:51:06]   Preset: medium_h16_flat | Dataset: wikitext103
[2026-03-30 11:51:06] ============================================================
[2026-03-30 11:51:06] Seed: 42

[2026-03-30 11:51:06] Config: {'vocab_size': 50257, 'dim': 384, 'n_heads': 6, 'head_dim': 64, 'n_layers': 16, 'expand': 3, 'dropout': 0.1, 'max_seq_len': 2048, 'use_rope': True, 'use_gsp': True, 'fused_qkv': True, 'qk_norm': False, 'tie_weights': True, 'hierarchical_dt': False, 'dt_bias_schedule': None, 'cross_level': False, 'gradient_checkpointing': False, 'activation': 'phase_mod'}
[2026-03-30 11:51:06] Training: lr=0.0001, warmup=1000, wd=0.01, grad_clip=1.0
[2026-03-30 11:51:06] Batch size: 3, Epochs: 10
[2026-03-30 11:51:06] AMP: auto, Compile: True

[2026-03-30 11:51:06] Loading wikitext103 (seq_len=2048)...
[2026-03-30 11:51:08] [cache] Loaded WikiText-103 train from .cache/v7_tokens/wikitext103_train_v2_full_sl2048.pt (118,496,145 tokens)
[2026-03-30 11:51:08] [cache] Loaded WikiText-103 validation from .cache/v7_tokens/wikitext103_validation_v2_full_sl2048.pt (248,461 tokens)
[2026-03-30 11:51:08] Train chunks: 57831, Val chunks: 121
[2026-03-30 11:51:08] Train batches: 19277, Val batches: 41

[2026-03-30 11:51:09] Model parameters: {'embedding (tied)': 38597376, 'blocks': 61538624, 'norms': 768, 'lm_head': 296064, 'total': 100432832}
[2026-03-30 11:51:09] Total: 100,432,832 (100.4M)
[2026-03-30 11:51:10] Param groups: 196 tensors (100,344,576) with wd, 181 tensors (88,256) without
[2026-03-30 11:51:10] Compiling model (mode=default)...

[2026-03-30 11:51:11] Training on cuda
[2026-03-30 11:51:11] Parameters: {'embedding (tied)': 38597376, 'blocks': 61538624, 'norms': 768, 'lm_head': 296064, 'total': 100432832}
[2026-03-30 11:51:11] Total: 100,432,832 (100.4M)
[2026-03-30 11:51:11] Epochs: 1..10, Batches/epoch: 19277


[2026-03-30 11:51:11] ============================================================
[2026-03-30 11:51:11] Epoch 1/10
[2026-03-30 11:51:11] ============================================================
[2026-03-30 11:52:17]   [1] 0/19277 (0%) loss=10.8979 ppl=54063.2 lr=1.00e-07 | 92 tok/s (avg 92) ETA 0m00s | GPU 1.9/21.1GB | gtok=6144
[2026-03-30 11:52:32]   [1] 50/19277 (0%) loss=10.7418 ppl=46249.3 lr=5.10e-06 | 21408 tok/s (avg 3875) ETA 508m02s | GPU 1.9/21.9GB | gtok=313344
[2026-03-30 11:52:46]   [1] 100/19277 (1%) loss=10.2341 ppl=27835.4 lr=1.01e-05 | 21282 tok/s (avg 6512) ETA 301m32s | GPU 1.9/21.9GB | gtok=620544
[2026-03-30 11:53:01]   [1] 150/19277 (1%) loss=9.8068 ppl=18157.1 lr=1.51e-05 | 21186 tok/s (avg 8450) ETA 231m46s | GPU 1.9/21.9GB | gtok=927744
[2026-03-30 11:53:15]   [1] 200/19277 (1%) loss=9.3990 ppl=12076.3 lr=2.01e-05 | 21179 tok/s (avg 9935) ETA 196m36s | GPU 1.9/21.9GB | gtok=1234944
[2026-03-30 11:53:29]   [1] 250/19277 (1%) loss=8.8362 ppl=6879.0 lr=2.51e-05 | 21722 tok/s (avg 11139) ETA 174m54s | GPU 1.9/21.9GB | gtok=1542144
[2026-03-30 11:53:44]   [1] 300/19277 (2%) loss=8.1089 ppl=3324.0 lr=3.01e-05 | 21232 tok/s (avg 12094) ETA 160m40s | GPU 1.9/21.9GB | gtok=1849344
[2026-03-30 11:53:58]   [1] 350/19277 (2%) loss=7.5614 ppl=1922.6 lr=3.51e-05 | 21528 tok/s (avg 12899) ETA 150m14s | GPU 1.9/21.9GB | gtok=2156544
[2026-03-30 11:54:13]   [1] 400/19277 (2%) loss=7.3037 ppl=1485.7 lr=4.01e-05 | 20866 tok/s (avg 13544) ETA 142m42s | GPU 1.9/21.9GB | gtok=2463744
[2026-03-30 11:54:28]   [1] 450/19277 (2%) loss=7.0473 ppl=1149.7 lr=4.51e-05 | 20706 tok/s (avg 14084) ETA 136m52s | GPU 1.9/21.9GB | gtok=2770944
[2026-03-30 11:54:42]   [1] 500/19277 (3%) loss=6.8447 ppl=938.9 lr=5.01e-05 | 21127 tok/s (avg 14569) ETA 131m58s | GPU 1.9/21.9GB | gtok=3078144
[2026-03-30 11:54:56]   [1] 550/19277 (3%) loss=6.5891 ppl=727.1 lr=5.51e-05 | 21396 tok/s (avg 15003) ETA 127m48s | GPU 1.9/21.9GB | gtok=3385344
[2026-03-30 11:55:11]   [1] 600/19277 (3%) loss=6.7020 ppl=814.0 lr=6.01e-05 | 21456 tok/s (avg 15388) ETA 124m16s | GPU 1.9/21.9GB | gtok=3692544
[2026-03-30 11:55:25]   [1] 650/19277 (3%) loss=6.7482 ppl=852.5 lr=6.51e-05 | 22159 tok/s (avg 15758) ETA 121m02s | GPU 1.9/21.9GB | gtok=3999744
[2026-03-30 11:55:39]   [1] 700/19277 (4%) loss=6.4529 ppl=634.6 lr=7.01e-05 | 21939 tok/s (avg 16081) ETA 118m17s | GPU 1.9/21.9GB | gtok=4306944
[2026-03-30 11:55:53]   [1] 750/19277 (4%) loss=6.4883 ppl=657.4 lr=7.51e-05 | 21847 tok/s (avg 16369) ETA 115m53s | GPU 1.9/21.9GB | gtok=4614144
[2026-03-30 11:56:07]   [1] 800/19277 (4%) loss=6.2809 ppl=534.3 lr=8.01e-05 | 22062 tok/s (avg 16637) ETA 113m43s | GPU 1.9/21.9GB | gtok=4921344
[2026-03-30 11:56:21]   [1] 850/19277 (4%) loss=6.3326 ppl=562.6 lr=8.51e-05 | 22159 tok/s (avg 16884) ETA 111m45s | GPU 1.9/21.9GB | gtok=5228544
[2026-03-30 11:56:34]   [1] 900/19277 (5%) loss=6.1880 ppl=486.9 lr=9.01e-05 | 22124 tok/s (avg 17109) ETA 109m59s | GPU 1.9/21.9GB | gtok=5535744
